id,title,category,condition,seller_type,state,city,zip,currency,starting_bid,current_or_final_bid,bid_count,buyer_premium_pct,sold,ended_at,source_url
gsa-1-1-QSC-I-26-184-003,FLUKE ELECTROSURGERY ANALYZER,medical-scientific,As-is,federal,MA,BEDFORD,01730,USD,,2105,3,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362351
gsa-1-1-QSC-I-26-184-004,(2) OPTO VARMIEX AUTO-TRACK UNITS,medical-scientific,As-is,federal,MA,BEDFORD,01730,USD,,25,1,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362352
gsa-1-1-QSC-I-26-184-005,ELECTROPHORESIS EQUIPMENT,medical-scientific,As-is,federal,MA,BEDFORD,01730,USD,,37,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362353
gsa-1-1-QSC-I-26-184-006,EMPTY MEDICAL E OXYGEN CYLINDERS,medical-scientific,As-is,federal,FL,WEST PALM BEACH,33410,USD,,1005,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362391
gsa-1-1-QSC-I-26-184-007,Floor Scrubber Pads and Cleaning Supplies,medical-scientific,As-is,federal,WI,ZABLOCKI VA MEDICAL CTR,53295,USD,,,0,0,false,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362354
gsa-1-1-QSC-I-26-184-009,(2) Verifit Audiometers,medical-scientific,As-is,federal,SC,COLUMBIA,29209,USD,,6505,4,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362355
gsa-1-1-QSC-I-26-184-010,StatSpin Express 4 Centrifuge,vehicles,As-is,federal,IL,DANVILLE,61832,USD,,57,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362356
gsa-1-1-QSC-I-26-184-011,BRAUN THERMOSCAN PRO 6000,medical-scientific,As-is,federal,MA,LEEDS,01053,USD,,55,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362357
gsa-1-1-QSC-I-26-184-012,Heat Therapy Machine,medical-scientific,As-is,federal,FL,GAINESVILLE,32609,USD,,30,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362358
gsa-1-1-QSC-I-26-184-013,GE X-RAY GENERATOR AND CABLES,tools-industrial,As-is,federal,FL,GAINESVILLE,32609,USD,,200,1,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362359
gsa-1-1-QSC-I-26-184-014,GCX Mounting Arms,medical-scientific,As-is,federal,FL,GAINESVILLE,32609,USD,,55,2,0,true,2026-05-06,https://www.gsaauctions.gov/auctions/preview/362360
